"type","name","features__type","features__properties__number","features__properties__name","features__properties__address","features__properties__address2","features__properties__commune","features__properties__nmarrond","features__properties__bonus","features__properties__pole","features__properties__lat","features__properties__lng","features__properties__bike_stands","features__properties__status","features__properties__available_bike_stands","features__properties__available_bikes","features__properties__availabilitycode","features__properties__availability","features__properties__banking","features__properties__gid","features__properties__last_update","features__properties__last_update_fme","features__properties__code_insee","features__properties__langue","features__properties__etat","features__properties__nature","features__properties__titre","features__properties__description","features__properties__startdate","features__properties__enddate","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","Feature","10023","Jaurès / Saint Exupéry","54, Rue Jean Jaurès","","VILLEURBANNE","","","","45.7576523213066860","4.8834709512316210","25","OPEN","24","1","1","Vert","false","1281","2020-12-12 18:19:50","2020-12-12 18:27:03","69266","","","","","","","","Point","4.883470951231621","45.757652321306686"
"","","Feature","9043","Marietton Ouest","Face 77b, Rue Marietton","","Lyon 9 ème","43","","Maillage","45.7760850428762750","4.7997376609700090","20","OPEN","3","17","1","Vert","false","888","2020-12-12 18:23:13","2020-12-12 18:27:03","69389","","","","","","","","Point","4.799737660970009","45.776085042876275"
"","","Feature","2019","Sucrière","Place Chevalier de Saint-Georges","","Lyon 2 ème","","","Lyon 2ème arrondissement","45.7361815820860700","4.8153350287499040","20","OPEN","20","0","3","Orange","true","1268","2020-12-12 18:22:30","2020-12-12 18:27:03","69382","","","","","","","","Point","4.815335028749904","45.736181582086068"
"","","Feature","5004","Saint-Jean","2, Place Edouard Commette","","Lyon 5 ème","4","","funiculaire, coeur quartier, Vieux Lyon","45.7604837438977800","4.8265650503972600","39","OPEN","7","32","1","Vert","true","854","2020-12-12 18:24:50","2020-12-12 18:27:03","69385","","","","","","","","Point","4.82656505039726","45.76048374389778"
"","","Feature","10030","Greuze","2, Rue Greuze","","VILLEURBANNE","30","","centre social","45.7738494367907200","4.8938448095574300","18","OPEN","6","12","1","Vert","false","822","2020-12-12 18:20:46","2020-12-12 18:27:03","69266","","","","","","","","Point","4.89384480955743","45.773849436790719"
"","","Feature","8060","Santy / Beauvisage","Face 9, Rue Pierre Verger","Angle Rue Maryse Bastié","Lyon 8 ème","60","","Maillage","45.7316833148739000","4.8741275326105120","17","OPEN","16","1","1","Vert","false","964","2020-12-12 18:17:30","2020-12-12 18:27:03","69388","","","","","","","","Point","4.874127532610512","45.731683314873898"
"","","Feature","1022","Place Tolozan","Place Tolozan","Angle nord-est de la place","Lyon 1 er","22","","Opéra, Métro A, métro C, mairie centrale","45.7696005888254260","4.8376084367310750","36","OPEN","8","28","1","Vert","true","1098","2020-12-12 18:25:59","2020-12-12 18:27:03","69381","","","","","","","","Point","4.837608436731075","45.769600588825426"
"","","Feature","9008","L'Ile Barbe","3, Quai Paul Sédallian","","Lyon 9 ème","8","","Mairie annexe, Ile Barbe, coeur quartier, Poste, commerces","45.7974121962714450","4.8290463533634590","16","OPEN","10","6","1","Vert","true","930","2020-12-12 18:17:06","2020-12-12 18:27:03","69389","","","","","","","","Point","4.829046353363459","45.797412196271445"
"","","Feature","9046","Mangini","12, Rue Félix Mangini","Face au n°9","Lyon 9 ème","","","plasson_chaize","45.7904088071307300","4.8163493917942380","24","OPEN","8","16","1","Vert","true","1217","2020-12-12 18:20:04","2020-12-12 18:27:03","69389","","","","","","","","Point","4.816349391794238","45.790408807130731"
"","","Feature","4042","Grégory Coupet","79, Rue Philippe De Lassalle","","Lyon 4 ème","42","","Stade","45.7817001067679500","4.8206000461275870","16","OPEN","14","2","1","Vert","false","931","2020-12-12 18:25:56","2020-12-12 18:27:03","69384","","","","","","","","Point","4.820600046127587","45.78170010676795"
