stop_id,stop_name,stop_lat,stop_lon,location_type
1422,LA LICHERE,45.48248183,4.380513192,0
1423,LA LICHERE,45.4828105,4.380256685,0
1425,EGLISE L'ETRAT,45.48573775,4.378151549,0
2259,EGLISE L'ETRAT,45.48564502,4.37830165,0
1426,LA TOUR EN JAREZ,45.48506128,4.387082152,0
1427,CROIX MALADIERE,45.48207201,4.388634394,0
1429,CROIX MALADIERE,45.48211063,4.388981239,0
1428,MONTEE DU BOURG,45.48208139,4.391551553,0
2190,MONTEE DU BOURG,45.48213123,4.390798616,0
1430,LA MALADIERE,45.48249704,4.388522236,0
1431,LA MALADIERE,45.482321,4.388797151,0
1432,LA BUISSONNIERE,45.48480194,4.417662299,0
1433,LA BUISSONNIERE,45.48505631,4.418017307,0
1436,MENDES FRANCE,45.4828466,4.424548283,0
1437,MENDES FRANCE,45.48292873,4.424487418,0
1438,MAIRIE LA TALAU,45.48087345,4.433799814,0
1439,MAIRIE LA TALAU,45.48093508,4.434352248,0
1440,CARNOT,45.48408319,4.436838519,0
1441,CARNOT,45.48420394,4.436638407,0
1442,COLL. P.M.CURIE,45.48162958,4.438101396,0
1443,COLL. P.M.CURIE,45.48151099,4.43818644,0
2159,COLL. P.M.CURIE,45.48058423,4.438176803,0
2160,COLL. P.M.CURIE,45.4817526,4.438259589,0
2157,IMPASSE V.HUGO,45.48199474,4.437347681,0
2158,IMPASSE V.HUGO,45.48218898,4.437546959,0
1444,LA VAURE,45.48172157,4.444207232,0
1445,LA VAURE,45.48180747,4.444901339,0
1446,LA VAURE,45.48175868,4.443671332,0
1447,LA VAURE,45.48165831,4.443744267,0
2260,LA VAURE,45.48108524,4.44406784,0
1448,CHADET,45.48410504,4.448571195,0
1449,CHADET,45.48420788,4.448843792,0
1450,LA RIVOIRE,45.48255813,4.503511423,0
1451,LA RIVOIRE,45.48279393,4.503418315,0
1454,MAGNOLIAS,45.48247814,4.521483377,0
1455,MAGNOLIAS,45.48263327,4.520913789,0
1456,CLOS MARQUET,45.4848385,4.518595595,0
1457,CLOS MARQUET,45.48524916,4.517844143,0
1458,FONT ROZET,45.48195651,4.523765609,0
1460,FONT ROZET,45.48189356,4.523763119,0
1459,LA FAYETTE,45.48158436,4.527601735,0
1463,LA FAYETTE,45.48155086,4.527933039,0
1464,LA FAYETTE,45.48154534,4.528214278,0
1461,ST JULIEN,45.48075661,4.526212843,0
1462,ST JULIEN,45.48076911,4.526034232,0
2207,FOURNEL,45.48215352,4.525654067,0
2208,FOURNEL,45.48202964,4.525086244,0
1465,MALADIERE,45.48136362,4.529678325,0
1466,MALADIERE,45.4813494,4.529485858,0
1467,AVENUE PASTEUR,45.48209231,4.531984497,0
1468,AVENUE PASTEUR,45.48199892,4.531699329,0
1469,GARAT,45.48404095,4.536322313,0
1470,GARAT,45.48415962,4.536237475,0
2163,C. C. MALADIERE,45.48306739,4.533200251,0
2164,C. C. MALADIERE,45.48312512,4.533010636,0
2191,C. C. MALADIERE,45.48282173,4.531962284,0
1471,GRANGE MERLIN,45.48155182,4.572403682,0
1472,HOTEL ST-PAUL,45.48226925,4.577473488,0
1473,HOTEL ST-PAUL,45.48219808,4.577432221,0
1474,ST PAUL BOURG,45.4830201,4.57458687,0
1476,ST PAUL BOURG,45.48303904,4.573640876,0
1475,LE PARC,45.48507371,4.57405586,0
1478,LE PARC,45.48523225,4.574228606,0
1477,LE PECHER,45.48533433,4.575422635,0
1558,LE PECHER,45.48540752,4.574913814,0
1479,LES MOLINEAUX,45.48921047,4.328841735,0
1480,LES MOLINEAUX,45.48858866,4.329395072,0
1481,LES OLLIERES,45.48609308,4.37396827,0
1482,LES OLLIERES,45.48618254,4.373997155,0
1483,LILAS,45.48678153,4.370756746,0
1484,LILAS,45.48689938,4.370709905,0
1485,MYOSOTIS,45.48895731,4.37630007,0
1487,MYOSOTIS,45.48900111,4.376365659,0
1486,PEUPLIERS,45.48906929,4.372133168,0
1488,PEUPLIERS,45.48928023,4.372409622,0
1489,CENTRE FORMATION,45.48580837,4.372307376,0
1490,CENTRE FORMATION,45.4856903,4.372366998,0
1493,LES FLACHES,45.48860634,4.38024062,0
1494,LES FLACHES,45.48935967,4.380383618,0
2192,BOURG L'ETRAT,45.48605263,4.379634474,0
2193,BOURG L'ETRAT,45.4859982,4.37965805,0
1495,LES BROSSETTES,45.49983266,4.3849299,0
1566,LES BROSSETTES,45.4992384,4.38494627,0
1496,BRAYETIERE,45.48726532,4.436076583,0
1497,BRAYETIERE,45.48724565,4.436165397,0
1498,LA LONGEAGNE,45.48650453,4.449225802,0
1499,LA LONGEAGNE,45.48683872,4.449161806,0
1502,ECOLE CHAVANNE,45.49000799,4.487770883,0
1542,ECOLE CHAVANNE,45.49012501,4.48730201,0
1503,RUE DES GENETS,45.48736359,4.495626293,0
1504,RUE DES GENETS,45.48741004,4.495551338,0
1505,LE VALLON,45.48894401,4.491145762,0
1506,LE VALLON,45.48887662,4.491373447,0
1507,LES CAMPANULES,45.48684183,4.498407935,0
1508,LES CAMPANULES,45.48681782,4.49825346,0
1509,PEYRARD,45.4898347,4.516220917,0
1510,CRET OEILLET HT,45.48596003,4.524295028,0
1511,CRET OEILLET,45.48680053,4.525953215,0
2165,STELYTEC,45.48950622,4.523360548,0
2209,RD PT STELYTEC,45.49008154,4.522014191,0
2210,RD PT STELYTEC,45.48982549,4.522221591,0
1512,CRET OEILLET BAS,45.48533017,4.526585887,0
1513,CRET OEILLET BAS,45.48576458,4.526462355,0
1514,CHATAIGNIERS,45.48578731,4.52989218,0
1515,BLEUETS,45.48748434,4.533298974,0
1516,POINT BLEU,45.48581217,4.540064818,0
1517,BATTANT COTES,45.48734546,4.538526565,0
1518,MIMOSAS,45.4923303,4.54086206,0
1519,MAIRIE L'HORME,45.48601739,4.541979394,0
1520,MAIRIE L'HORME,45.4861242,4.54249544,0
1521,ZONE ARTISANALE,45.48788572,4.546263495,0
1522,ZONE ARTISANALE,45.48833881,4.547471555,0
1523,QUARTIER MOULIN,45.48963457,4.550210425,0
1524,QUARTIER MOULIN,45.48994754,4.55122101,0
1525,LE VERNAY,45.49334548,4.323539918,0
1526,LE VERNAY,45.49301717,4.323784024,0
1527,LA PAUSE,45.49177987,4.381893359,0
1528,LA PAUSE,45.49174623,4.381764162,0
1529,LE VAL JOLY,45.49272438,4.435311429,0
1530,LE VAL JOLY,45.49403101,4.435220278,0
1531,COLOMBIER,45.49034596,4.445009436,0
2261,COLOMBIER,45.4904272,4.445473162,0
1532,MAIRIE SORBIERS,45.49094765,4.447936922,0
2262,MAIRIE SORBIERS,45.49096478,4.448935612,0
1533,PRAIRIE,45.49155626,4.444300663,0
2211,PRAIRIE,45.49182653,4.444285376,0
2169,NELSON MANDELA,45.50049577,4.444142432,0
1537,BOURG,45.48937489,4.450678959,0
2171,BOURG,45.48948741,4.450440156,0
2172,BOURG,45.48977881,4.450259372,0
1538,FOLLEREAU SAUZEA,45.49237034,4.45122856,0
